site_name,exclusion_reason,excluded_by,excluded_date
GULF_OF_LION_42.5_3.0,Centroid plots inland in QGIS and Looker Studio despite marine bathymetry samples. Grid cell straddles coastline — visual inspection confirms centroid falls on land. Excluded pending high-resolution land mask verification.,manual_review,2026-03-25
GULF_OF_LION_42.25_3.25,Same as above.,manual_review,2026-03-25
